title,artistName,yearAsString,genre,image,vector
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-4.jpg!Large.jpg,"[39.14705882352941, 6.298319327731093, 10.557422969187675, 5.817927170868347, 12.827731092436975, 4.147058823529412, 21.204481792717086, 6, 47.8493216894601]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-5.jpg!Large.jpg,"[8.02803738317757, 0.41588785046728977, 9.78348909657321, 1.6526479750778817, 9.945482866043614, 65.59034267912772, 4.584112149532711, 4, 64.49765438885835]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-6.jpg!Large.jpg,"[3.568794326241135, 0.0028368794326241137, 3.0879432624113474, 0.0070921985815602835, 4.177304964539007, 0.0, 89.15602836879432, 1, 37.78052009456265]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-7.jpg!Large.jpg,"[26.466392318244168, 0.07407407407407407, 0.1934156378600823, 14.078189300411523, 51.39094650205761, 1.7393689986282581, 6.05761316872428, 4, 29.055612039054306]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-8.jpg!Large.jpg,"[4.94579945799458, 0.6233062330623307, 5.90650406504065, 0.0, 11.651761517615176, 0.8875338753387535, 75.98509485094851, 3, 33.45112386417981]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads1.wikiart.org/images/janos-mattis-teutsch/composition-1922-9.jpg!Large.jpg,"[50.531120331950206, 4.91701244813278, 9.887966804979254, 8.345781466113417, 8.159059474412171, 0.9225449515905947, 17.23651452282158, 5, 44.2486046700838]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1922-10.jpg!Large.jpg,"[30.461432506887054, 7.862258953168045, 0.25895316804407714, 0.0, 8.446280991735538, 48.94903581267218, 4.022038567493113, 4, 56.23364122508507]"
Composition,Mattis-Teutsch Janos,1922,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1922-11.jpg!Large.jpg,"[3.138211382113821, 0.013550135501355014, 3.594850948509485, 2.888888888888889, 4.470189701897019, 0.0, 85.89430894308943, 1, 39.25324937563101]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1923(4).jpg!Large.jpg,"[19.910364145658264, 0.07983193277310924, 7.966386554621849, 2.1316526610644257, 11.88655462184874, 53.945378151260506, 4.079831932773109, 4, 53.152183226231664]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1923(5).jpg!Large.jpg,"[14.411483253588516, 2.017543859649123, 7.7400318979266345, 29.510366826156297, 3.9569377990430623, 0.7304625199362041, 41.63317384370016, 4, 50.21246520936924]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads2.wikiart.org/images/janos-mattis-teutsch/composition-1923(6).jpg,"[7.205761316872428, 0.013717421124828533, 53.43621399176954, 5.994513031550069, 16.957475994513032, 1.51440329218107, 14.877914951989027, 5, 55.77600796148363]"
Composition,Mattis-Teutsch Janos,1923,abstract,https://uploads4.wikiart.org/images/janos-mattis-teutsch/composition-1923-1(8).jpg!Large.jpg,"[6.120833333333333, 11.07638888888889, 11.363888888888889, 0.008333333333333333, 32.87777777777778, 3.213888888888889, 35.33888888888889, 5, 41.79427015250545]"
